company_name,company_slug,source_name,source_url,vacancies_count,note
Галактика,halaktyka,Work.ua,https://www.work.ua/jobs/by-company/747856,43,Work.ua VIP list
Генерал Черешня,general-chereshnia,Work.ua,https://www.work.ua/jobs/by-company/2989141,8,Work.ua VIP list
Глобальна ресторанна група KFC,kfc-ukraine,Work.ua,https://www.work.ua/jobs/by-company/894452,21,Work.ua VIP list
Глобино,hlobyne,Work.ua,https://www.work.ua/jobs/by-company/140437,34,Work.ua VIP list
Грош,hrosh,Work.ua,https://www.work.ua/jobs/by-company/205551,31,Work.ua VIP list
Гудок,hudok,Work.ua,https://www.work.ua/jobs/by-company/1461319,25,Work.ua VIP list
ДІЛА,dila,Work.ua,https://www.work.ua/jobs/by-company/106904,53,Work.ua VIP list
ДТЕК,dtek,Work.ua,https://www.work.ua/jobs/by-company/318853,210,Work.ua VIP list
ДТС-Харків KFC,dtc-kharkiv-kfc,Work.ua,https://www.work.ua/jobs/by-company/1478102,49,Work.ua VIP list
Дарниця,darnytsya,Work.ua,https://www.work.ua/jobs/by-company/232903,18,Work.ua VIP list
Делікат,delikat,Work.ua,https://www.work.ua/jobs/by-company/905237,28,Work.ua VIP list
Деліція,delitsiya,Work.ua,https://www.work.ua/jobs/by-company/197873,9,Work.ua VIP list
Добробут,dobrobut,Work.ua,https://www.work.ua/jobs/by-company/241004,77,Work.ua VIP list
ЕкономКлас,ekonomklas,Work.ua,https://www.work.ua/jobs/by-company/959538,62,Work.ua VIP list
Еліт-Україна,elit-ukraine,Work.ua,https://www.work.ua/jobs/by-company/67775,38,Work.ua VIP list
Ерідон,eridon,Work.ua,https://www.work.ua/jobs/by-company/65331,82,Work.ua VIP list
Ескулаб,eskulab,Work.ua,https://www.work.ua/jobs/by-company/1202860,28,Work.ua VIP list
Золотий Вік,zolotyi-vik,Work.ua,https://www.work.ua/jobs/by-company/210220,49,Work.ua VIP list
КИТ Group,kyt-group,Work.ua,https://www.work.ua/jobs/by-company/562448,29,Work.ua VIP list
Кар'єра-Плюс Захід,kariera-plus-zakhid,Work.ua,https://www.work.ua/jobs/by-company/3055654,128,Work.ua VIP list
Кар'єра-Плюс РА,kariera-plus-ra,Work.ua,https://www.work.ua/jobs/by-company/1915142,138,Work.ua VIP list
Київстар,kyivstar,Work.ua,https://www.work.ua/jobs/by-company/24773,65,Work.ua VIP list
Кліринговий Дім,klirynh-dim,Work.ua,https://www.work.ua/jobs/by-company/196141,12,Work.ua VIP list
Ковальська,kovalska,Work.ua,https://www.work.ua/jobs/by-company/458937,32,Work.ua VIP list
Контінентал Фармерз Груп,kontynental-farmers,Work.ua,https://www.work.ua/jobs/by-company/103064,49,Work.ua VIP list
Копійочка,kopiichka,Work.ua,https://www.work.ua/jobs/by-company/670663,230,Work.ua VIP list
Креді Агріколь,credit-agricole,Work.ua,https://www.work.ua/jobs/by-company/316160,58,Work.ua VIP list
Логістик Юніон,lohistyk-union,Work.ua,https://www.work.ua/jobs/by-company/851456,61,Work.ua VIP list
Львівські Круасани,lvivski-kruasany,Work.ua,https://www.work.ua/jobs/by-company/610621,68,Work.ua VIP list
Люксоптика,lyuksoptyka,Work.ua,https://www.work.ua/jobs/by-company/176857,53,Work.ua VIP list
МТБ Банк,mtb-bank,Work.ua,https://www.work.ua/jobs/by-company/116497,26,Work.ua VIP list
МХП,mkhp,Work.ua,https://www.work.ua/jobs/by-company/80348,184,Work.ua VIP list
МакДональдз Юкрейн,mcdonalds-ukraine,Work.ua,https://www.work.ua/jobs/by-company/837382,164,Work.ua VIP list
Малбі Фудс,malbi-fuds,Work.ua,https://www.work.ua/jobs/by-company/48602,15,Work.ua VIP list
Малороганський молочний завод,malorohansky-molochny,Work.ua,https://www.work.ua/jobs/by-company/523085,31,Work.ua VIP list
Метінвест,metinvest,Work.ua,https://www.work.ua/jobs/by-company/750619,107,Work.ua VIP list
Мобільна Оптика,mobilna-optyka,Work.ua,https://www.work.ua/jobs/by-company/2004292,49,Work.ua VIP list
Модерн Експо,modern-expo,Work.ua,https://www.work.ua/jobs/by-company/114755,17,Work.ua VIP list
Нафтогазбезпека,naftohaz-bezpeka,Work.ua,https://www.work.ua/jobs/by-company/2542124,9,Work.ua VIP list
Національне агентство з працевлаштування,natsionalne-ahentstvo-pratsevlashtuvannia,Work.ua,https://www.work.ua/jobs/by-company/1892969,28,Work.ua VIP list
Нова пошта,nova-poshta,Work.ua,https://www.work.ua/jobs/by-company/34748,689,Work.ua VIP list
Нібулон,nibulon,Work.ua,https://www.work.ua/jobs/by-company/542627,10,Work.ua VIP list
ОН Клінік,on-klinik,Work.ua,https://www.work.ua/jobs/by-company/175423,28,Work.ua VIP list
ОТАК СМАРТШОП,otak-smartshop,Work.ua,https://www.work.ua/jobs/by-company/2417867,53,Work.ua VIP list
Оболонь,obolon,Work.ua,https://www.work.ua/jobs/by-company/71496,60,Work.ua VIP list
Оператор ГТС України,operator-hts-ukraine,Work.ua,https://www.work.ua/jobs/by-company/951308,43,Work.ua VIP list
ПУМБ,pumb,Work.ua,https://www.work.ua/jobs/by-company/166714,196,Work.ua VIP list
Перший ломбард,pershyi-lombard,Work.ua,https://www.work.ua/jobs/by-company/1295165,60,Work.ua VIP list
Повернись живим,povernis-zhyvym,Work.ua,https://www.work.ua/jobs/by-company/1372630,9,Work.ua VIP list
Подорожник,podorozhnyk,Work.ua,https://www.work.ua/jobs/by-company/347700,518,Work.ua VIP list
Посад,posad,Work.ua,https://www.work.ua/jobs/by-company/431193,12,Work.ua VIP list
ПриватБанк,pryvatbank,Work.ua,https://www.work.ua/jobs/by-company/85007,332,Work.ua VIP list
ПроКредит Банк,prokredyt-bank,Work.ua,https://www.work.ua/jobs/by-company/13777,21,Work.ua VIP list
Південний банк,pivdennyi-bank,Work.ua,https://www.work.ua/jobs/by-company/8611,48,Work.ua VIP list
Рост,rost,Work.ua,https://www.work.ua/jobs/by-company/556053,23,Work.ua VIP list
СП Оптіма-Фарм,optima-farm,Work.ua,https://www.work.ua/jobs/by-company/28379,24,Work.ua VIP list
Сенс книгарня,sens-knyhарnia,Work.ua,https://www.work.ua/jobs/by-company/2606545,8,Work.ua VIP list
Скарбниця,skarbnytsya,Work.ua,https://www.work.ua/jobs/by-company/42601,93,Work.ua VIP list
Спільнота Стерненка,spilnota-sternenka,Work.ua,https://www.work.ua/jobs/by-company/3076687,10,Work.ua VIP list
Столична Ювелірна Фабрика,stolychna-yuvelirnа-fabryka,Work.ua,https://www.work.ua/jobs/by-company/443497,44,Work.ua VIP list
Стройінвест,stroiinvest,Work.ua,https://www.work.ua/jobs/by-company/589671,19,Work.ua VIP list
Сузір'я,suzirya,Work.ua,https://www.work.ua/jobs/by-company/817474,9,Work.ua VIP list
Сільпо,silpo,Work.ua,https://www.work.ua/jobs/by-company/21751,928,Work.ua VIP list
Сім23 Сімі,sim23-simi,Work.ua,https://www.work.ua/jobs/by-company/454875,28,Work.ua VIP list
Сінево Україна,sinevo-ukraine,Work.ua,https://www.work.ua/jobs/by-company/114646,42,Work.ua VIP list
